2011002,20908023110,55111048705,923110102
2011102,21406049030,55111052901,923110131
2011104,21406060010,55111053001,923340030
2012502,21406490300,55111053101,923410102
2012504,21406490500,55111053201,923410104
2013202,21406600100,55111053205,927000301
2013204,21695000630,55111053301,927005701
2061102,21695000660,55111053305,927005711
2081702,21695000690,55111053401,927005801
2081703,21695000700,55111053405,927007001
2081733,21695000720,55111054590,927007053
2081902,21695000730,55111054605,927007401
2081903,21695000760,55111054690,927007901
2081933,21695000800,55111054790,927008109
2100502,21695000814,55111054805,927008401
2161502,21695000815,55111054890,927008601
2161512,21695000820,55111054990,927009207
2182267,21695000824,55111060860,927009237
2191516,21695000830,55111060930,927009307
2191616,21695000850,55111060990,927009337
2191644,21695000860,55111061010,927013363
2200502,21695001428,55111061030,927017401
2200504,21695001430,55111068201,927017453
2200533,21695001442,55111068205,927018601
2246805,21695001460,55111068209,927018653
2256358,21695001472,55111068301,927025639
2300475,21695001478,55111068305,927027824
2307502,21695001490,55111068309,927035645
2307504,21695001530,55111068330,927035745
2321045,21695001560,55111068350,927037824
2322045,21695001590,55111068401,927047734
2323560,21695001660,55111068405,927056320
2323704,21695002107,55111068409,927059612
2323730,21695002112,55111068430,927062560
2323733,21695002115,55111068450,927067812
2323734,21695002120,55111068460,944435108
2324001,21695002121,55111069312,944435110
2324030,21695002130,55111071730,944435112
2324033,21695002142,55111071830,948065201
2324090,21695002145,55111071930,948065205
2327001,21695002160,55111072030,948065210
2327004,21695002172,55111073609,948067001
2327030,21695002190,55111073709,948067025
2327033,21695002200,55111073809,948517801
2400602,21695002215,55150015872,948519801
2400630,21695002230,55150015974,948522301
3017540,21695002260,55150016072,948522401
3019350,21695002272,55150016102,948524601
3019360,21695002310,55150016205,948524701
3020171,21695002314,55150016330,948524710
3020180,21695002315,55150016402,948524901
3020750,21695002320,55150016505,948524910
3020753,21695002328,55150016710,948525601
3020776,21695002330,55150016830,948525701
3020850,21695002360,55150016910,948525705
3020853,21695002615,55150017030,948526310
3020876,21695003000,55150017110,948531001
3023250,21695003030,55150017230,948531101
3023251,21695003060,55150017301,948531301
3024150,21695003090,55150017305,948531310
3024155,21695003100,55150017705,948531501
3024176,21695003130,55150018703,948531601
3024649,21695003160,55150019520,948531610
3024653,21695003190,55150019699,948531801
3025950,21695003200,55150019720,948531810
3025960,21695003230,55150019830,955103010
3026750,21695003260,55150019920,955103110
3026760,21695003290,55150020010,955103210
